code,ward,pop16_74,higher_managerial,pop,ghealth
E05000886,Allerton and Hunts Cross,10930,1103,14853,7274
E05000887,Anfield,10712,312,14510,6124
E05000888,Belle Vale,10987,432,15004,6129
E05000889,Central,19174,1346,20340,11925
E05000890,Childwall,10410,1123,13908,7219
E05000891,Church,10569,1843,13974,7461
E05000892,Clubmoor,11004,315,15272,6403
E05000893,County,10555,280,14045,5930
E05000894,Cressington,10887,1249,14503,7094
E05000895,Croxteth,10491,644,14561,6992
E05000896,Everton,11151,331,14782,5517
E05000897,Fazakerley,12522,596,16786,7879
E05000898,Greenbank,14121,1156,16132,8990
E05000899,Kensington and Fairfield,11828,373,15377,6495
E05000900,Kirkdale,12691,559,16115,6662
E05000901,Knotty Ash,9598,502,13312,5981
E05000902,Mossley Hill,10645,1529,13816,7322
E05000903,Norris Green,10670,258,15047,6529
E05000904,Old Swan,11989,520,16461,7192
E05000905,Picton,13385,485,17009,7953
E05000906,Princes Park,13315,851,17104,7636
E05000907,Riverside,15107,1617,18422,9001
E05000908,St Michael's,10861,1598,12991,6450
E05000909,Speke-Garston,14531,378,20300,8973
E05000910,Tuebrook and Stoneycroft,12434,537,16489,7302
E05000911,Warbreck,12661,621,16481,7521
E05000912,Wavertree,11478,1099,14772,7268
E05000913,West Derby,10735,838,14382,7013
E05000914,Woolton,9397,1447,12921,6025
E05000915,Yew Tree,12038,626,16746,7717
