geo_code,households,socialrented_households
E05000886,6359,827
E05000887,6622,1508
E05000888,6622,2818
E05000889,7139,1311
E05000890,5391,374
E05000891,5884,178
E05000892,6576,2859
E05000893,6745,1564
E05000894,6317,1023
E05000895,6024,1558
E05000896,7383,4279
E05000897,6806,1095
E05000898,6854,1426
E05000899,7390,2286
E05000900,7751,3655
E05000901,5667,1691
E05000902,5619,573
E05000903,6412,3267
E05000904,7398,1560
E05000905,7563,2629
E05000906,8877,5148
E05000907,9538,3240
E05000908,6495,1321
E05000909,8959,4148
E05000910,7477,1356
E05000911,6909,1042
E05000912,6595,998
E05000913,6066,697
E05000914,6030,803
E05000915,7047,2251
