"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01006512",10518,25.61,0.1,0.08,10.06,1.19,-0.2,24.49,68.91,0.16,0.31
"E01006513",10339,25.91,0.04,0.03,20.13,0.58,1.5,25.15,85.48,0.21,0.2
"E01006514",5247,37.64,0.19,0.15,15.5,1.86,0.74,21.85,58.9,0.23,0.48
"E01006515",1019,58.99,0.43,0.3,33.51,1.9,1.16,17.4,29.78,0.46,0.76
"E01006518",662,63.37,0.43,0.34,49.9,2.24,0.67,15.52,31.03,0.5,0.52
"E01006519",23033,10.98,0.05,0.08,1.76,0.26,0.11,11.37,26.35,0.05,0.08
"E01006520",3867,42.18,0.24,0.21,11.41,1.6,1.34,16.58,53.38,0.21,0.52
"E01006521",8908,28.52,0.17,0.17,13.02,1.07,0.56,9.97,39.68,0.21,0.24
"E01006522",2731,47.32,0.27,0.23,29.18,2.22,1.07,12.49,41.95,0.4,0.48
"E01006523",5351,37.32,0.25,0.2,9.09,1.65,0.68,14.61,42.39,0.29,0.39
"E01006524",24024,10.15,0.05,0.03,6.4,0.57,-0.3,19.78,22.26,0.09,0.17
"E01006525",23149,10.87,0.06,0.08,4.05,0.21,-0.27,13.06,25.97,0.05,0.07
"E01006526",14735,19.38,0.11,0.12,5.34,0.87,0.25,7.09,33.07,0.07,0.22
"E01006527",15258,18.77,0.15,0.12,7.42,0.9,-0.79,9.36,24.41,0.16,0.26
"E01006528",9881,26.71,0.16,0.14,13.85,1.02,0.15,13.67,48.56,0.21,0.26
"E01006529",19679,13.95,0.09,0.09,3.93,0.56,-0.83,3.67,38.73,0.06,0.19
"E01006530",22517,11.41,0.09,0.09,7.05,0.3,-0.56,5.06,15.98,0.12,0.11
"E01006531",22878,11.12,0.1,0.08,5.97,0.4,-0.99,8.2,15.88,0.07,0.15
"E01006532",25698,8.8,0.04,0.07,1.73,0.05,-0.2,20.91,16.5,0.03,0.09
"E01006533",9666,27.11,0.17,0.17,15.45,1.1,0.03,21.09,21.14,0.13,0.25
"E01006534",9213,27.93,0.18,0.18,21.87,1.23,-0.07,12.33,21.52,0.18,0.26
"E01006535",7155,32.4,0.2,0.18,23.78,1.63,0.27,10.87,27.62,0.17,0.3
"E01006536",4616,39.61,0.26,0.24,36.4,1.55,-0.17,11.29,27.4,0.33,0.31
"E01006537",11456,23.95,0.16,0.12,20.35,0.61,-0.24,12.41,51.6,0.28,0.13
"E01006538",13612,20.82,0.14,0.13,19.75,0.81,-0.6,3.33,29.84,0.15,0.19
"E01006539",21200,12.51,0.07,0.1,2.72,0.41,-0.16,14.98,20.4,0.06,0.09
"E01006540",48,78.55,0.48,0.41,62.28,3.02,1.48,18.1,51.82,0.49,0.5
"E01006541",2615,47.93,0.27,0.25,38.22,1.47,1.67,13.31,38.1,0.33,0.31
"E01006542",1167,57.46,0.31,0.29,39.29,1.59,1.82,12.55,58.04,0.43,0.29
"E01006543",10457,25.71,0.13,0.12,25.18,0.68,1,6.89,40.19,0.16,0.19
"E01006544",632,63.7,0.39,0.33,51.95,2.16,1.26,12.43,35.47,0.45,0.41
"E01006545",3829,42.33,0.24,0.22,36.14,1.43,0.77,6.16,58.92,0.31,0.22
"E01006546",747,62.12,0.37,0.28,47.41,1.62,1.71,8.82,66.9,0.53,0.27
"E01006547",50,78.44,0.43,0.4,59.31,2.48,1.8,11.38,71.78,0.54,0.39
"E01006548",404,67.34,0.39,0.31,43.96,2.3,1.34,13.09,66.5,0.47,0.37
"E01006549",2903,46.38,0.25,0.23,10.16,1.8,0.85,27.21,64.79,0.29,0.39
"E01006550",14077,20.18,0.11,0.07,3.27,1.23,0.14,12.89,49.13,0.4,0.37
"E01006551",4819,38.93,0.27,0.21,24.63,1.83,0.21,22.79,23.87,0.4,0.45
"E01006552",1432,55.26,0.4,0.25,46.04,1.26,1.04,27.75,46.15,0.45,0.53
"E01006553",14677,19.47,0.11,0.07,9.75,0.72,0.14,9.68,55.1,0.21,0.3
"E01006554",10277,26.02,0.13,0.13,2.21,1.23,0.16,15.27,59.07,0.06,0.29
"E01006556",178,72.58,0.45,0.31,70.15,2.3,1.33,19.81,52.19,0.51,0.6
"E01006557",14804,19.27,0.09,0.05,15.88,0.76,0.21,14.34,56.86,0.3,0.27
"E01006558",90,75.78,0.46,0.41,51.16,2.83,1.17,14.89,65.23,0.58,0.38
"E01006560",248,70.7,0.45,0.44,56.06,2.61,1.12,20.32,17.59,0.38,0.55
"E01006562",121,74.57,0.44,0.39,74.21,2.24,1.36,15.68,40.74,0.49,0.41
