UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Barking and Dagenham,185911,69681,71079,71206,137613,127568,75217,136615,174667,90237,95674,184901,1010,44018,28024,43463,36754,16258,3063,18582.01934372,17987,93679,14707,7878,7436,8007,7701,1315,5135,37140,2913,104101,34736,35106,11968,128464,1643,3254,9118,43432,6228,43773,52964,12507,1208,3845,4591,9669,8058,19215,9909,24560,10009,235,15762,1525,2831,13895,32983,21470,27,33230,23459,12328,664,5162,30460,49942.0548682,87819,62720,24042,8686,2644,16201,38396,44409,12759,28715,27618,30183,11880,1679,35722,31542,6274,15608,44490,11421,9367,5518,10995,9485,9476,6459,4749,2050,3989,6686,20407,17873,12484,9636,22490,17969,15566,44,33,3419,175,682,7844,11465,6292,4272,2387,3643,1185,3344,5647,3979,6678,10582,3546,E09000002,25551.85,5,32.768,17,0.0364,92,0.4724,18,29391.87,86
Barnet,356386,135916,139346,140062,282152,258443,170658,278406,340431,172676,183710,352597,3789,68112,55338,83864,79288,39757,7675,38385.87209324,37444.5,170802,57751,17169,27920,5344,2215,8259,22180,27431,17315,146866,122306,57297,29917,217890,6020,13202,23941,95333,13552,86175,123382,20864,2797,7445,6519,16526,14698,37957,25544,39401,10069,645,32369,4146,15372,41644,22729,60137,180,79541,19334,34854,2187,7155,49903,81693.58999131,183453,117508,39172,12197,4056,32320,43833,65046,28742,113815,39024,59992,36900,12601,75928,67670,14459,30478,93174,40290,11476,9065,22967,21112,14277,7885,7719,2177,4427,40720,66100,34134,35389,11543,26472,17343,21489,72,146,4908,364,513,12047,24830,6584,9751,10438,10262,4774,19438,8707,6618,19418,19776,12012,E09000003,13803.35,113,16.148,117,0.0047,126,0.0523,123,26151.4,125
Barnsley,231221,100734,104975,105123,188335,170405,103579,186674,222832,113634,117587,229539,1682,41725,27979,45725,63220,35330,4680,31193.74568016,31958.5,222731,3554,1630,442,211,60,440,508,1221,424,158287,2390,55536,15008,223418,478,1119,2379,3827,1171,40420,87452,25893,1459,1483,3579,13384,13004,29734,28607,27483,7920,28,14882,4389,23187,47159,26317,8411,49,65252,21032,12856,1594,982,55268,102059.18999078,96194,77649,37956,15278,4144,27167,60890,65179,21342,32724,27108,43197,30429,3516,9275,79246,11542,24807,62841,13103,8738,3817,28008,6225,7435,11925,3506,1639,3577,11190,31218,22297,15974,16959,32524,35862,12464,530,447,13003,556,1047,11094,18143,5220,4664,2179,2352,1174,3852,5480,5948,9397,14209,4284,E08000016,21850.19,30,29.933,30,0.2177,29,0.3838,29,31740.45,38
Bath and North East Somerset,176016,73515,75931,76304,146439,130550,84858,140675,170629,86072,89944,169977,6039,32088,26136,32400,44875,26909,4908,23875.3060358,23950,159786,6687,2898,1116,170,219,1912,1160,1326,742,99468,3984,57626,14938,159658,858,3254,2275,9971,859,38712,64884,14839,1087,1546,2101,8728,8778,22535,20325,17969,4210,1822,10864,2789,16524,21350,21318,16817,295,49436,10614,12447,1018,691,28295,52651.29224469,88882,58849,20856,5831,1598,17585,25140,42475,24095,48910,16158,31073,26284,6512,8865,51833,17648,18818,46367,14306,3548,6713,17896,13209,4289,3610,1794,388,1292,18044,32396,17647,13944,8760,18347,13117,4494,558,112,6024,334,792,6210,12476,2684,5620,4399,2868,1270,6627,3315,5555,10783,10928,4303,E06000022,9260.09,141,11.745,139,0.0174,109,0.0402,132,25201.75,133
Bedford,157479,63812,67333,67653,125871,113764,75810,123054,151285,77312,80167,154536,2943,30504,19774,32838,40119,21441,3427,19790.91367368,20099,114271,12575,5386,8122,3270,3225,905,2410,6202,1113,93346,16552,37229,10352,129755,1318,3966,5878,16562,4710,29805,59508,12531,870,1913,2687,8252,7488,18396,16240,18204,4854,325,10647,3841,18554,21776,14818,11898,607,42602,10252,10110,848,1287,25201,45074.54609478,73860,56663,19812,5596,1548,16084,25645,41381,14882,35417,13137,26678,23997,4229,7250,52943,11388,15841,45943,10826,5060,4112,14517,6231,4918,3749,2567,733,1969,13482,26423,17156,11305,8566,17292,14552,6999,554,38,6440,516,609,5721,12949,4293,3412,2951,2080,997,5017,3729,4899,8827,9398,3380,E06000055,15291.14,97,18.932,96,0.0388,90,0.1328,95,29286.44,89
Bexley,231997,92604,95037,95114,184431,165914,110159,183338,222954,111676,120321,230902,1095,46028,28873,47146,58723,32103,5109,28509.1520866,28771.5,181846,8116,5395,7047,730,777,2514,4175,19624,1773,144093,15683,55995,16226,199367,2103,2511,3485,24531,2541,48503,84974,18570,1160,2575,4296,11060,12200,25789,20931,27635,7707,205,18044,2510,6891,42035,23554,22611,23,67908,13377,10556,763,1951,37053,64481.7758108,111323,80446,29015,8688,2525,23522,42366,70694,21334,40146,21918,42054,28632,3997,41212,56914,8036,23072,66838,16376,7245,5333,21839,9177,7696,4943,3395,1171,2846,15219,37256,35335,17747,13180,24991,17001,9507,81,77,5080,655,797,11877,15997,6898,4208,4470,8376,2012,7829,5456,8480,10596,11909,5361,E09000004,13529.71,116,16.273,116,0,130,0.0755,115,27051.79,119
Birmingham,1073045,410736,423633,425095,828363,760252,423691,806895,1023386,527806,545239,1051366,21679,235838,179515,222658,222461,119145,19068,116331.21065073,112510.5,592238,29398,47605,64621,144627,32532,12712,31148,96360,21804,494358,301780,206821,70086,834732,16085,13032,16532,192664,47005,271446,316370,71866,6590,19130,22339,49544,49610,131200,71572,119112,41471,4840,84012,14359,46449,147412,125101,105999,134,230556,99592,73405,7183,16996,197901,332718.61533907,488568,363904,148782,54105,17686,107380,233835,241779,107913,190335,147112,169909,93715,14402,97210,260201,51878,96186,251668,52825,54114,33428,81213,74102,48771,39917,28028,13444,22140,62528,131318,95584,56067,52749,122174,100781,102528,419,81,39056,1962,2709,25686,66500,23981,26715,12873,16916,6275,23868,22365,20528,51328,62912,19517,E08000025,25319.55,6,38.067,7,0.4131,7,0.5792,4,32208.16,22
Blackburn with Darwen,147489,57353,59615,59694,113122,104417,60523,111628,140785,73547,73942,145827,1662,31818,20669,30862,34601,16716,2345,16311.4673651,16125.5,98938,3071,1823,19791,17801,1525,721,1656,933,1230,77599,41207,20374,8309,125695,594,995,2001,18204,5680,29039,51165,11570,755,2060,2831,7516,6692,17419,12080,17777,5043,29,10048,2341,8242,16963,27179,7256,54,37083,10391,8993,886,1503,29841,50224.8321504,66991,49010,20725,8428,2335,15756,32485,37860,12923,22416,17502,25110,14741,2269,5476,43938,8840,14535,35597,7997,5575,3329,13248,6065,7061,7378,3632,1091,2219,7496,17560,13594,9505,8938,18242,16880,11767,139,26,9741,194,417,3871,10759,2692,2961,1721,1179,755,2491,2754,3385,6195,8936,2307,E06000008,23819.6,12,36.013,8,0.3626,8,0.5519,7,32396.85,13
Blackpool,142065,64367,68984,69343,116699,103813,61419,112758,137019,69775,72290,137960,4105,24918,17109,26854,38509,23501,3738,21345.94889359,21744.5,134071,3268,1753,627,223,231,514,687,346,345,95426,2732,34815,9092,134362,926,1152,2187,3438,783,29900,42784,14353,1601,1102,2921,11160,8937,24446,14386,15216,5733,54,10265,4976,5924,25279,20771,17194,175,39889,6999,16770,709,603,36331,73007.46536688,56600,48022,23977,10346,3120,16319,36559,43008,13546,18098,23635,27493,13239,3305,6440,39956,11718,14836,34230,9960,6337,3177,16807,3809,3943,8228,2486,801,2557,5451,18991,15376,14703,9873,20649,16955,7856,73,42,4895,242,315,4434,9967,2929,7438,1266,1706,634,1950,2796,5750,4089,9171,3722,E06000009,26765.29,1,45.039,1,0.4149,6,0.5766,5,32838.16,1
Bolton,276786,116371,120802,121001,219710,200723,123367,217886,265412,136660,140126,274855,1931,54480,36356,56720,69812,37212,5328,34632.2174049,34913,221488,5157,4892,21665,12026,614,1423,3021,4652,1848,173608,39960,47567,15651,245562,1467,2102,3116,24539,6194,55177,98570,24682,1584,2763,5099,15566,14445,37091,27353,32956,9496,225,18746,4630,19681,41803,42171,17259,87,74775,23825,15930,1841,2418,54913,98436.06569388,125548,93765,39139,14465,3869,30649,57888,75279,26408,48688,32948,50068,33355,4678,14688,90049,13952,27798,74631,16348,9913,6243,29514,10318,9504,11574,4880,1773,3929,17246,39930,29416,19254,15897,34933,31092,15882,198,66,13184,1027,1200,10397,23310,6334,5959,3193,4336,1738,6422,6065,6931,11581,16144,5282,E08000001,21135.42,37,30.691,27,0.2373,25,0.4315,23,32112.35,25
"Bournemouth, Christchurch and Poole",378888,167379,175015,176804,317499,276610,181196,310434,366176,186381,192507,371539,7349,62275,52902,75399,93998,63097,13559,52701.73395209,53245.5,337274,19637,6612,3135,314,834,2717,3837,2367,2161,226128,12489,111124,29147,336690,2084,7645,9108,23361,3193,79379,135939,36391,3389,3978,6006,23708,21644,56380,45581,36724,9192,1920,26774,9425,62489,29433,17738,66544,600,109034,19314,37281,1750,2427,72055,130625.37612378,173847,131862,52396,16058,4725,39525,65249,108168,44197,82226,36421,74737,56221,10226,16365,123758,30847,39606,103975,28597,9682,11297,41505,16173,10384,10716,4675,918,3632,30337,67497,44768,34127,23030,47178,31153,12448,360,191,15825,503,1111,14501,30778,7529,12180,6058,13591,3342,9302,7880,8037,15835,24741,9432,E06000058,14820.73,102,18.173,104,0.0386,91,0.1126,104,28918.7,98
Bracknell Forest,113205,45878,46937,47039,89743,83116,61914,87613,108293,56107,57098,110512,2693,22340,14070,26631,29272,12262,1885,13982.62491643,14298.5,97064,5490,2303,1989,518,134,556,2467,2189,495,68524,5046,32184,7451,98294,804,2194,1985,9928,708,19463,43500,10790,706,1044,1748,5950,4412,12707,12134,13862,3046,24,7151,1161,12883,9648,14885,8784,839,31946,7678,5734,520,558,13897,25745.59689709,59320,38814,11394,2859,818,9674,14639,31978,11389,27197,6275,17818,21785,3663,4557,46764,6930,11066,40762,8167,2808,2334,8496,3007,3450,1770,1256,281,1058,12964,22207,13672,7886,6282,11172,7440,2876,135,107,4184,332,356,4477,10044,3537,2920,6180,1770,816,4611,3791,3809,5402,6152,3291,E06000036,8295.79,144,10.241,144,0,130,0.0025,147,19756.83,146
Bradford,522452,199296,207268,208063,400121,366217,218937,393444,497608,257132,265320,515315,7137,112803,74489,108439,119847,59788,9604,56996.26067917,56810.5,336169,16148,12979,13555,106614,9863,2086,8031,9267,7740,239843,142033,108027,32549,432843,2123,4288,12096,71102,23965,99564,181640,41014,2998,9386,10362,24631,23849,58934,44428,58856,15305,621,36457,8767,29081,74068,71595,32761,558,130715,29513,36070,2998,7485,90527,147953.93021227,234133,186031,71580,23768,6940,51026,110892,130894,45101,87397,60799,85678,52819,9151,34118,147873,27795,52795,125745,31473,21224,12490,43961,23311,24487,18176,12555,5053,8391,29488,67596,50048,35156,27454,56605,54574,44290,621,123,24761,764,1798,14553,38656,11917,12328,5619,11161,2934,10412,11010,11033,24284,28243,8720,E08000032,23086.82,18,34.666,12,0.3355,10,0.4981,12,32399.09,12
Brent,311215,110286,112083,113342,248458,233726,147461,246156,297380,156468,154747,308895,2320,58977,58896,76288,65730,29081,3595,29110.54643545,27495.5,68207,44673,15775,58017,14381,1749,3250,28589,58632,17942,129080,127619,33054,21462,139788,8874,13018,22631,126904,23694,89684,93627,16590,2498,12381,7049,13270,11057,30616,14448,29106,9793,595,35521,3056,7402,27064,19191,59628,57,48960,26591,33181,1554,11929,44882,68650.35063964,149695,108169,36731,12339,4281,26610,47721,55744,24163,82619,47419,43598,19269,6062,80636,45209,15554,25702,83772,30004,13535,10978,18619,19919,13035,9119,9043,3161,5021,22560,44997,26335,28747,13525,30536,24805,27205,66,111,6724,285,452,13062,25104,8346,11648,9262,6426,2664,12321,9785,5241,11987,15118,8859,E09000005,21083.02,39,25.558,61,0.0578,77,0.2074,69,29908.65,78
Brighton and Hove,273369,121540,124417,126827,229024,210792,139823,221950,264238,136108,137261,266059,7310,46466,51127,65653,61140,29708,5984,35259.11357314,34330,223790,19722,10408,2996,649,1367,2999,3267,4188,3983,117276,16050,115954,24089,230484,2677,9130,5609,25469,2498,81015,69645,30964,6425,2573,4499,15755,11074,44294,26349,27550,8637,2873,20474,5287,12897,24174,26001,63700,55,65835,18187,35959,1559,2418,44569,88903.50127467,134673,91970,32298,11151,3277,23967,36775,58813,36599,84423,46415,51727,23398,10618,34491,57999,36715,27492,75999,27241,7818,12303,19625,20567,7249,8813,3685,863,3023,26509,56144,27854,23746,11523,25073,16096,9785,151,64,5237,1152,651,8594,19167,5860,9143,8583,9367,2490,10788,7018,6213,17332,18779,9234,E06000043,16209.04,89,20.761,87,0.0909,62,0.1682,80,30811.93,62
"Bristol, City of",428234,182747,188438,189885,349653,321506,209995,340467,409698,213071,215163,418814,9420,78377,85123,95160,90865,46960,8912,50648.5291788,48924,337283,22309,15438,6547,6863,2104,3886,4255,25734,3815,200254,32980,160218,34782,365108,2900,9166,10520,40540,6089,118004,120522,46314,3681,5145,7082,21559,18160,61607,41546,44462,14919,3623,31509,7138,11164,49983,63331,65239,168,100093,37083,43028,2543,4124,71724,130964.75657573,209024,143283,52446,18056,5425,40138,70478,96339,51006,114621,52814,82483,47450,9578,25271,117337,57809,42980,127829,27106,13817,15387,31534,28932,12556,13973,7392,2095,5134,41255,69717,42237,24540,21860,48480,38928,19216,208,142,13609,808,1409,13864,30464,9077,12308,11087,12658,2691,17623,10993,11427,22801,29324,9502,E06000023,19421.68,59,26.363,51,0.1559,46,0.288,54,31869.61,32
