Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Barking and Dagenham,E09000002,Upper tier local authority,2020-01-30,0,0
Barnet,E09000003,Upper tier local authority,2020-01-30,0,0
Barnsley,E08000016,Upper tier local authority,2020-01-30,0,0
Bath and North East Somerset,E06000022,Upper tier local authority,2020-01-30,0,0
Bedford,E06000055,Upper tier local authority,2020-01-30,0,0
Bexley,E09000004,Upper tier local authority,2020-01-30,0,0
Birmingham,E08000025,Upper tier local authority,2020-01-30,0,0
Blackburn with Darwen,E06000008,Upper tier local authority,2020-01-30,0,0
Blackpool,E06000009,Upper tier local authority,2020-01-30,0,0
Bolton,E08000001,Upper tier local authority,2020-01-30,0,0
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-01-30,0,0
Bracknell Forest,E06000036,Upper tier local authority,2020-01-30,0,0
Bradford,E08000032,Upper tier local authority,2020-01-30,0,0
Brent,E09000005,Upper tier local authority,2020-01-30,0,0
Brighton and Hove,E06000043,Upper tier local authority,2020-01-30,0,0
"Bristol, City of",E06000023,Upper tier local authority,2020-01-30,0,0
Bromley,E09000006,Upper tier local authority,2020-01-30,0,0
Buckinghamshire,E10000002,Upper tier local authority,2020-01-30,0,0
Bury,E08000002,Upper tier local authority,2020-01-30,0,0
Calderdale,E08000033,Upper tier local authority,2020-01-30,0,0
Cambridgeshire,E10000003,Upper tier local authority,2020-01-30,0,0
Camden,E09000007,Upper tier local authority,2020-01-30,0,0
Central Bedfordshire,E06000056,Upper tier local authority,2020-01-30,0,0
Cheshire East,E06000049,Upper tier local authority,2020-01-30,0,0
Cheshire West and Chester,E06000050,Upper tier local authority,2020-01-30,0,0
City of London,E09000001,Upper tier local authority,2020-01-30,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-01-30,0,0
County Durham,E06000047,Upper tier local authority,2020-01-30,0,0
Coventry,E08000026,Upper tier local authority,2020-01-30,0,0
Croydon,E09000008,Upper tier local authority,2020-01-30,0,0
Cumbria,E10000006,Upper tier local authority,2020-01-30,0,0
Darlington,E06000005,Upper tier local authority,2020-01-30,0,0
Derby,E06000015,Upper tier local authority,2020-01-30,0,0
Derbyshire,E10000007,Upper tier local authority,2020-01-30,0,0
Devon,E10000008,Upper tier local authority,2020-01-30,0,0
Doncaster,E08000017,Upper tier local authority,2020-01-30,0,0
Dorset,E06000059,Upper tier local authority,2020-01-30,0,0
Dudley,E08000027,Upper tier local authority,2020-01-30,0,0
Ealing,E09000009,Upper tier local authority,2020-01-30,0,0
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-01-30,0,0
East Sussex,E10000011,Upper tier local authority,2020-01-30,0,0
Enfield,E09000010,Upper tier local authority,2020-01-30,0,0
Essex,E10000012,Upper tier local authority,2020-01-30,0,0
Gateshead,E08000037,Upper tier local authority,2020-01-30,0,0
Gloucestershire,E10000013,Upper tier local authority,2020-01-30,0,0
Greenwich,E09000011,Upper tier local authority,2020-01-30,0,0
Hackney,E09000012,Upper tier local authority,2020-01-30,0,0
Halton,E06000006,Upper tier local authority,2020-01-30,0,0
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-01-30,0,0
Hampshire,E10000014,Upper tier local authority,2020-01-30,0,0
